ID,Author,Content Length,Content
558765931640127488,Brostekake,26,!play EXTREME USSR EARRAPE
558765933125042206,Brostekake,26,!play EXTREME USSR EARRAPE
558765934094057472,Brostekake,26,!play EXTREME USSR EARRAPE
558765936195272707,Karaoke Bot for /r/teenagers,0,
558765936736206848,Karaoke Bot for /r/teenagers,116,Now playing in `Karaoke`: `IceJJFish - On The Floor (Official Music Video) ThatRaw.com Presents` added by `BirkIsak`
558765937147510784,Karaoke Bot for /r/teenagers,0,
558765937705353237,Karaoke Bot for /r/teenagers,0,
558765938032508939,Karaoke Bot for /r/teenagers,0,
558765948350234639,C0racle,5,!skip
558765959574454282,Karaoke Bot for /r/teenagers,0,
558765960698527765,Karaoke Bot for /r/teenagers,0,
558765963252596747,Karaoke Bot for /r/teenagers,0,
558765963609112596,Karaoke Bot for /r/teenagers,0,
558765963923816448,Karaoke Bot for /r/teenagers,0,
